,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
CLIM_TOUR_A_(TGBT_D6) kWh (kWh) [ABS] ,57403.0,15615.24113274545,3732.9862728699304,9806.5,12112.7,14464.7,20126.8,20133.5,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kW sys (kW) [AVG] ,57403.0,0.7180632729087583,1.3591499781461134,0.0,0.0,0.0,1.15,13.3,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kvarh (kvarh) [ABS] ,57403.0,11664.89642187177,2679.5778093067797,7401.9,9154.6,10874.4,14901.5,14906.3,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kvar sys (kvar) [AVG] ,57403.0,0.5220595688355008,0.9666764363396335,-0.01,-0.0,0.0,0.79,7.12,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) Hz (Hz) [MIN] ,57403.0,49.94962284578653,0.05372661312064852,48.3,49.9,49.9,50.0,50.1,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF sys  [AVG] ,57403.0,0.8942918229940047,0.2955393786423767,-1.0,0.82,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L1 (A) [MIN] ,57403.0,0.949516218601371,2.018825245358477,0.0,0.0,0.0,1.67,15.19,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L1 (A) [AVG] ,57403.0,1.3132524935985865,2.458816337880163,0.0,0.0,0.0,2.02,22.47,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L1 (A) [MAX] ,57403.0,1.8109739466608958,3.262887995813133,0.0,0.0,0.0,2.05,32.18,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L2 (A) [MIN] ,57403.0,0.9792660783000544,2.0574389433599727,0.0,0.0,0.0,1.73,15.46,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L2 (A) [AVG] ,57403.0,1.3420208265619855,2.4981145137225234,0.0,0.0,0.0,2.16,22.82,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L2 (A) [MAX] ,57403.0,1.8269013828858824,3.2534458259127965,0.0,0.0,0.0,2.18,31.12,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L3 (A) [MIN] ,57403.0,0.9285921495108452,2.0211803516667532,0.0,0.0,0.0,1.59,15.42,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L3 (A) [AVG] ,57403.0,1.294909467578712,2.4606738432380535,0.0,0.0,0.0,1.95,22.79,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) A L3 (A) [MAX] ,57403.0,1.789158297574275,3.2420994778245844,0.0,0.0,0.0,1.98,33.43,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) Run hour meter (h) [ABS] ,57403.0,9106.545444635905,1660.7286186496538,6076.24,7602.05,8902.02,11097.66,11101.35,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) Hz (Hz) [AVG] ,57403.0,50.00998806756372,0.025212649170190476,49.64,50.0,50.0,50.01,50.19,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) Hz (Hz) [MAX] ,57403.0,50.07997251401393,0.04500975566091861,49.9,50.1,50.1,50.1,50.6,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L1  [MIN] ,57403.0,0.8465197444968316,0.4094839653097924,-0.93,0.82,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L1  [AVG] ,57403.0,0.8558738143922752,0.39816223915669485,-0.92,0.83,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L1  [MAX] ,57403.0,0.8638187367058409,0.3915454851873818,-0.91,0.86,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L2  [MIN] ,57403.0,0.9297085000907372,0.10281754840089163,-0.88,0.81,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L2  [AVG] ,57403.0,0.935929979569543,0.09225567990537113,0.68,0.82,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L2  [MAX] ,57403.0,0.9414330741860526,0.0842450445703958,0.69,0.83,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L3  [MIN] ,57403.0,0.9298562315984085,0.110365910115875,0.27,0.8,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L3  [AVG] ,57403.0,0.9361809613431684,0.09932495424694658,0.66,0.81,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF L3  [MAX] ,57403.0,0.9419814153532109,0.09024263131703726,0.68,0.82,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF sys  [MIN] ,57403.0,0.8724959903424683,0.3541941237215277,-1.0,0.81,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) PF sys  [MAX] ,57403.0,0.9332414473268815,0.17498919264283744,-1.0,0.84,1.0,1.0,1.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) Phase sequence  [MIN] ,57403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) Phase sequence  [AVG] ,57403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) Phase sequence  [MAX] ,57403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA dmd (kVA) [MIN] ,57403.0,0.8893735017007801,1.6674509147929344,0.0,0.0,0.0,1.39,13.8,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA dmd (kVA) [AVG] ,57403.0,0.8893735017007801,1.6674509147929344,0.0,0.0,0.0,1.39,13.8,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA dmd (kVA) [MAX] ,57403.0,0.8893735017007801,1.6674509147929344,0.0,0.0,0.0,1.39,13.8,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L1-L2 (V) [MIN] ,57403.0,390.53160459082596,2.9439584499172544,354.0,388.6,390.8,392.7,398.5,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L1-L2 (V) [AVG] ,57403.0,391.5044207875119,2.8438811078501134,376.5,389.58,391.7,393.6,398.99,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L1-L2 (V) [MAX] ,57403.0,392.3969005530395,2.835297953411036,376.8,390.5,392.6,394.5,406.7,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L1-N (V) [MIN] ,57403.0,225.01612221177922,1.6631157056853123,214.2,223.9,225.1,226.2,229.7,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L1-N (V) [AVG] ,57403.0,225.6636811659516,1.6241981088905424,217.38,224.56,225.76,226.86,230.11,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L1-N (V) [MAX] ,57403.0,226.22986973687983,1.6210572138427541,217.7,225.1,226.3,227.4,233.5,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L2-L3 (V) [MIN] ,57403.0,383.5225534774207,33.95017836039818,227.5,388.7,391.2,393.3,399.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L2-L3 (V) [AVG] ,57403.0,384.5194238513267,34.03832564481715,230.13,389.78,392.22,394.26,399.84,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L2-L3 (V) [MAX] ,57403.0,385.4622604180931,34.13378083941427,230.5,390.8,393.1,395.2,406.4,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L2-N (V) [MIN] ,57403.0,225.86896301512942,1.712587848787547,214.6,224.8,226.0,227.1,230.4,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L2-N (V) [AVG] ,57403.0,226.50771382287013,1.6693352330820852,217.88,225.4,226.65,227.75,230.87,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L2-N (V) [MAX] ,57403.0,227.11816729371563,1.6765323425437142,218.2,226.0,227.2,228.4,236.1,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L3-L1 (V) [MIN] ,57403.0,382.01599282822224,41.1985659247412,195.1,388.9,391.4,393.4,399.2,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L3-L1 (V) [AVG] ,57403.0,383.0322710304385,41.29332618757886,195.93,390.0,392.35,394.36,399.69,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L3-L1 (V) [MAX] ,57403.0,383.98506887455346,41.398215789279114,196.3,391.0,393.3,395.3,405.0,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L3-N (V) [MIN] ,57403.0,216.24944644539616,42.79649278679343,23.8,224.5,225.9,227.1,230.5,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L3-N (V) [AVG] ,57403.0,216.84208129365314,42.870113202821244,24.01,225.1,226.53,227.72,230.96,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L3-N (V) [MAX] ,57403.0,217.4187716519881,42.95636451974746,24.1,225.7,227.1,228.3,233.3,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L-L sys (V) [MIN] ,57403.0,385.4631813078032,25.15559067464397,269.4,388.7,391.2,393.2,398.9,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L-L sys (V) [AVG] ,57403.0,386.3185463873134,25.197577238239468,270.61,389.62,392.0,394.01,399.32,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L-L sys (V) [MAX] ,57403.0,387.10284792894566,25.2542112008816,270.9,390.5,392.8,394.8,404.5,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L-N sys (V) [MIN] ,57403.0,222.46226704672964,14.333515531615134,153.1,224.3,225.7,226.9,230.3,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L-N sys (V) [AVG] ,57403.0,222.97251390092637,14.356472425684117,157.22,224.83,226.21,227.37,230.48,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) V L-N sys (V) [MAX] ,57403.0,223.45657618261964,14.386874313350283,157.4,225.3,226.7,227.8,233.7,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kW dmd (kW) [MIN] ,57403.0,0.718390534802381,1.3592488485605156,0.0,0.0,0.0,1.15,12.07,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kW dmd (kW) [AVG] ,57403.0,0.718390534802381,1.3592488485605156,0.0,0.0,0.0,1.15,12.07,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kW dmd (kW) [MAX] ,57403.0,0.718390534802381,1.3592488485605156,0.0,0.0,0.0,1.15,12.07,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) Totalizer 1  [ABS] ,0.0,,,,,,,,60192,100.0
CLIM_TOUR_A_(TGBT_D6) Totalizer 2  [ABS] ,0.0,,,,,,,,60192,100.0
CLIM_TOUR_A_(TGBT_D6) Totalizer 3  [ABS] ,0.0,,,,,,,,60192,100.0
CLIM_TOUR_A_(TGBT_D6) kVA L1 (kVA) [MIN] ,57403.0,0.21328154107890057,0.45250205118667824,0.0,0.0,0.0,0.38,3.38,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA L1 (kVA) [AVG] ,57403.0,0.295219454756296,0.5517962820382369,0.0,0.0,0.0,0.46,4.98,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA L1 (kVA) [MAX] ,57403.0,0.4073436784023554,0.73282429536429,0.0,0.0,0.0,0.46,7.23,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA L2 (kVA) [MIN] ,57403.0,0.2207917000620303,0.46257307865062725,0.0,0.0,0.0,0.39,3.44,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA L2 (kVA) [AVG] ,57403.0,0.3027704069311355,0.5623487678384794,0.0,0.0,0.0,0.49,5.06,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA L2 (kVA) [MAX] ,57403.0,0.41354213768795095,0.7374124479142202,0.0,0.0,0.0,0.5,7.21,2789,4.633506113769272
CLIM_TOUR_A_(TGBT_D6) kVA L3 (kVA) [MIN] ,57403.0,0.2093108421422785,0.4543922731633981,0.0,0.0,0.0,0.36,3.45,2789,4.633506113769272
