,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Tour_B_(TGBT_D5) kWh (kWh) [ABS] ,57403.0,83504.85354345456,18559.93191417809,51555.2,68375.3,80427.0,102491.54999999999,113811.7,2789,4.633506113769272
Tour_B_(TGBT_D5) kW sys (kW) [AVG] ,57403.0,4.157528196010762,4.57373787879506,0.0,2.32,2.87,4.17,73.01,2789,4.633506113769272
Tour_B_(TGBT_D5) kvarh (kvarh) [ABS] ,57403.0,806.8163510617912,937.6906699817732,4.7,4.7,4.7,1971.5,1975.9,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar sys (kvar) [AVG] ,57403.0,-2.5633260884408506,2.0038400081962617,-12.32,-3.64,-2.08,-1.81,24.12,2789,4.633506113769272
Tour_B_(TGBT_D5) Hz (Hz) [MIN] ,57403.0,49.9464146715878,0.05350003880229592,48.2,49.9,49.9,50.0,50.1,2789,4.633506113769272
Tour_B_(TGBT_D5) PF sys  [AVG] ,57403.0,-0.7599474542448545,0.1904466703189466,-0.99,-0.86,-0.8,-0.72,1.0,2789,4.633506113769272
Tour_B_(TGBT_D5) A L1 (A) [MIN] ,57403.0,5.33891871967779,6.42184297482126,0.0,2.4,3.6,5.76,113.88,2789,4.633506113769272
Tour_B_(TGBT_D5) A L1 (A) [AVG] ,57403.0,6.073111209835241,7.612652559361859,0.0,2.52,4.01,6.69,116.3,2789,4.633506113769272
Tour_B_(TGBT_D5) A L1 (A) [MAX] ,57403.0,7.242203452077712,9.568442555690805,0.0,2.76,4.92,8.04,119.16,2789,4.633506113769272
Tour_B_(TGBT_D5) A L2 (A) [MIN] ,57403.0,8.091508062724541,6.404808612487196,0.0,5.4,6.48,7.8,116.4,2789,4.633506113769272
Tour_B_(TGBT_D5) A L2 (A) [AVG] ,57403.0,8.877395341487219,7.587795463404719,0.0,5.66,6.97,8.55,118.43,2789,4.633506113769272
Tour_B_(TGBT_D5) A L2 (A) [MAX] ,57403.0,10.012272578770489,9.533147853931194,0.0,6.0,7.44,9.72,121.56,2789,4.633506113769272
Tour_B_(TGBT_D5) A L3 (A) [MIN] ,57403.0,7.742399627357139,5.733851434647391,0.0,5.04,6.36,8.16,110.76,2789,4.633506113769272
Tour_B_(TGBT_D5) A L3 (A) [AVG] ,57403.0,8.348569828104843,6.802953470913572,0.0,5.28,6.67,8.65,112.81,2789,4.633506113769272
Tour_B_(TGBT_D5) A L3 (A) [MAX] ,57403.0,9.352531229254806,8.61767347602839,0.0,5.64,7.2,9.48,116.88,2789,4.633506113769272
Tour_B_(TGBT_D5) Run hour meter (h) [ABS] ,57403.0,20317.181697583845,4249.3599645908325,12557.43,16811.695,20365.82,23973.975,27559.08,2789,4.633506113769272
Tour_B_(TGBT_D5) Hz (Hz) [AVG] ,57403.0,50.00880346162086,0.025143196130511674,49.64,50.0,50.0,50.01,50.19,2789,4.633506113769272
Tour_B_(TGBT_D5) Hz (Hz) [MAX] ,57403.0,50.078045785445724,0.046043843447131125,49.9,50.1,50.1,50.1,50.6,2789,4.633506113769272
Tour_B_(TGBT_D5) PF L1  [MIN] ,57403.0,-0.7435686272167508,0.22611675895435146,-1.0,-0.93,-0.78,-0.61,1.0,2789,4.633506113769272
Tour_B_(TGBT_D5) PF L1  [AVG] ,57403.0,-0.6149436761641617,0.26675762998981856,-0.98,-0.84,-0.65,-0.43,1.0,2789,4.633506113769272
